load_profile,scenario_family,metric,count,mean,min,max,stddev,stderr,ci95_low,ci95_high
emergency,A,critical_deadline_met_ratio,30,0.24583333333333332,0.041666666666666664,0.5416666666666666,0.16750864905902185,0.03058275522228093,0.1858911330976627,0.30577553356900394
emergency,B,critical_deadline_met_ratio,30,0.3722222222222222,0.125,0.75,0.1622745021515435,0.029627135112106993,0.31415303740249245,0.4302914070419519
emergency,C,critical_deadline_met_ratio,30,0.4986111111111111,0.16666666666666666,0.7083333333333334,0.15570386676367304,0.028427506705747542,0.44289319796784593,0.5543290242543762
high,A,critical_deadline_met_ratio,30,0.24583333333333332,0.0625,0.4375,0.12706625568314087,0.02319901817845842,0.20036325770355481,0.2913034089631118
high,B,critical_deadline_met_ratio,30,0.56875,0.375,0.9375,0.1316649843483387,0.024038627320383248,0.5216342904520488,0.6158657095479512
high,C,critical_deadline_met_ratio,30,0.775,0.5,1.0,0.12671240855874621,0.02313441482781199,0.7296565469374885,0.8203434530625116
normal,A,critical_deadline_met_ratio,30,0.5939393939393939,0.2727272727272727,0.9090909090909091,0.1632062150855115,0.029797241842458196,0.5355367999281758,0.6523419879506119
normal,B,critical_deadline_met_ratio,30,0.6787878787878788,0.2727272727272727,1.0,0.1700474064846936,0.031046266792305648,0.6179371958749598,0.7396385617007979
normal,C,critical_deadline_met_ratio,30,0.7909090909090909,0.45454545454545453,1.0,0.11235959859237335,0.0205139622337562,0.7507017249309288,0.831116456887253
overload,A,critical_deadline_met_ratio,30,0.06222222222222222,0.0,0.06666666666666667,0.016913875446830828,0.0030880370390206717,0.05616966962574171,0.06827477481870274
overload,B,critical_deadline_met_ratio,30,0.24444444444444444,0.06666666666666667,0.4666666666666667,0.11787821929826459,0.021521519916066767,0.2022622654089536,0.2866266234799353
overload,C,critical_deadline_met_ratio,30,0.28,0.06666666666666667,0.5333333333333333,0.09492889050691346,0.01733156489652484,0.24603013280281133,0.3139698671971887
