load_profile,scenario_family,critical_deadline_met_ratio,critical_deadline_met_ratio__ci95_low,critical_deadline_met_ratio__ci95_high,critical_latency_mean_s,critical_latency_mean_s__ci95_low,critical_latency_mean_s__ci95_high,critical_latency_p95_s,critical_jitter_s,critical_jitter_s__ci95_low,critical_jitter_s__ci95_high
emergency,A,0.24583333333333332,0.1858911330976627,0.30577553356900394,0.286774140739145,0.2634810213564467,0.31006726012184327,0.5143107037619173,0.08444627555068582,0.07592823448442815,0.09296431661694349
emergency,B,0.3722222222222222,0.31415303740249245,0.4302914070419519,0.20407243001775957,0.19608879703921184,0.2120560629963073,0.40128905533219333,0.06257941210683188,0.05938558659153518,0.06577323762212858
emergency,C,0.4986111111111111,0.44289319796784593,0.5543290242543762,0.15741038762367687,0.14412070381972986,0.1707000714276239,0.32475473481150774,0.07968788058412458,0.07156889949854972,0.08780686166969945
high,A,0.24583333333333332,0.20036325770355481,0.2913034089631118,0.42816543561147674,0.3360469578053604,0.5202839134175931,0.8114983223473556,0.19089132487968438,0.16874965099265127,0.2130329987667175
high,B,0.56875,0.5216342904520488,0.6158657095479512,0.15041773374723796,0.14487942105049392,0.155956046443982,0.2400716819417544,0.06144349900112363,0.05575133342979753,0.06713566457244972
high,C,0.775,0.7296565469374885,0.8203434530625116,0.11301519165183925,0.10455318554360687,0.12147719776007163,0.23304643753873974,0.07342593705063301,0.06327640937962452,0.0835754647216415
normal,A,0.5939393939393939,0.5355367999281758,0.6523419879506119,0.15711516792165342,0.14426246036385468,0.16996787547945216,0.3247151699149209,0.10167342447707833,0.08729294052343059,0.11605390843072608
normal,B,0.6787878787878788,0.6179371958749598,0.7396385617007979,0.12297688636477047,0.11645413507931872,0.12949963765022224,0.20369481491140426,0.05297502020399621,0.04660624390921926,0.059343796498773166
normal,C,0.7909090909090909,0.7507017249309288,0.831116456887253,0.08513602063397858,0.07963811950848805,0.09063392175946912,0.1648892508868029,0.05170240733939995,0.04443482488728764,0.058969989791512266
overload,A,0.06222222222222222,0.05616966962574171,0.06827477481870274,1.0235354584140877,0.9682015565584469,1.0788693602697286,1.6304901007953856,0.2649501500568138,0.22995741465120034,0.2999428854624273
overload,B,0.24444444444444444,0.2022622654089536,0.2866266234799353,0.2318954584140887,0.21770558524364317,0.24608533158453424,0.4068799742881138,0.0801441356574724,0.07274100273499144,0.08754726857995336
overload,C,0.28,0.24603013280281133,0.3139698671971887,0.21061844260182083,0.19918434585684608,0.22205253934679559,0.4025575349624898,0.11055532184976806,0.09737916856411291,0.12373147513542321
